gene,rxn
lp_1781,PSUDS
lp_1785,PGM
lp_1790,ADPRDP
lp_1814,D_LACt2
lp_1814,L_LACt2r
lp_1816,CRCT
lp_1817,RBT5PDHy
lp_1818,CRPT_25
lp_1819,CRPT_25
lp_1822,GTHRD
lp_1837,PPA
lp_1869,DHFR
lp_1870,TMDS
lp_1874,DHDPRy
lp_1883,CYTK2
lp_1883,CYTK1
lp_1888,YUMPS
lp_1888,PSUDS
lp_1897,PYK
lp_1898,PFK
lp_1912,PPS
lp_1919,MNabc
lp_1920,ENO
lp_1923,SDPDS
lp_1925,NOX2
lp_1925,NOX1
lp_1932,PGLYCP
lp_1941,NOX2
lp_1941,NOX1
lp_1964,GLYTRS
lp_1965,GLYTRS
lp_1968,DAGK_LPL
lp_1977,CRPT_25
lp_1980,ASPTRS
lp_1981,HISTRS
lp_1982,AMAA
lp_1987,GTPDPK
lp_2016,DARTAL
lp_2016,DALTAL
lp_2017,DARTAL
lp_2017,DALTAL
lp_2018,DARTAL
lp_2018,DALTAL
lp_2019,DARTAL
lp_2019,DALTAL
lp_2030,ACLDC
lp_2031,FMNAT
lp_2031,RBFK
lp_2032,YUMPS
lp_2032,PSUDS
lp_2033,SHKK
lp_2034,PPND
lp_2035,PSCVT
lp_2037,CHORS
lp_2048,PROTRS
lp_2050,DASYN_LPL
lp_2051,UDCPDPS
lp_2053,URIDK1
lp_2053,URIDK2
lp_2057,LDH_D
lp_2060,AGAT_LPL
lp_2067,HMGCOAS
lp_2076,NO3abc
lp_2077,NO3abc
lp_2086,ADPT
lp_2096,FRUK
lp_2097,FRUpts
lp_2099,CPSS_LPL
lp_2099,CPSS_LPL2
lp_2100,CPSS_LPL
lp_2100,CPSS_LPL2
lp_2101,CPSS_LPL
lp_2101,CPSS_LPL2
lp_2102,CPSS_LPL
lp_2102,CPSS_LPL2
lp_2103,CPSS_LPL
lp_2103,CPSS_LPL2
lp_2104,CPSS_LPL
lp_2104,CPSS_LPL2
lp_2105,UDPG4E
lp_2106,CPSS_LPL
lp_2106,CPSS_LPL2
lp_2107,CPSS_LPL
lp_2107,CPSS_LPL2
lp_2108,CPSS_LPL
lp_2108,CPSS_LPL2
lp_2110,GLNabc
lp_2111,GLNabc
lp_2123,DHDPS
lp_2133,PTPAT
lp_2136,PC
lp_2147,MI1PP
lp_2151,PDH
lp_2152,PDH
lp_2153,PDH
lp_2154,PDH
lp_2155,FMETDF
lp_2166,PRPPS
lp_2170,PGM
lp_2179,MOADCST
lp_2180,MOADCST
lp_2181,MTAN
lp_2181,AHCYSNS
lp_2183,ADPRDP
lp_2185,DAPE
lp_2187,ILETRS
lp_2196,UAGPT5
lp_2197,UAMAGS
lp_2199,PAPPT5
lp_2200,PGGT4
lp_2213,LEUt2r
lp_2213,ILEt2r
lp_2219,PGL
lp_2221,YUMPS
lp_2221,PSUDS
lp_2222,NADK
lp_2223,GTPDPK
lp_2242,ACKr
lp_2251,RBK
lp_2251,DRBK
lp_2263,ADPDS
lp_2264,APAT
lp_2264,THDPS
lp_2268,GLUR
lp_2277,ALATRS
lp_2303,PGSA_LPL
lp_2308,ASPK
lp_2312,GLNabc
lp_2313,GLNabc
lp_2314,GLNabc
lp_2321,THFGLUS
lp_2321,DHFS
lp_2322,VALTRS
lp_2324,GLUCYS
lp_2325,MOADCST
lp_2326,MOADCST
lp_2336,GTHS
lp_2336,GLUCYS
lp_2344,GPDDA4
lp_2344,GPDDA2
lp_2344,GPDDA5
lp_2344,GPDDA1
lp_2344,GPDDA3
lp_2345,ALALAC
lp_2349,2HXICDH
lp_2361,UAGCVT
lp_2363,ATPS3r
lp_2364,ATPS3r
lp_2365,ATPS3r
lp_2366,ATPS3r
lp_2367,ATPS3r
lp_2368,ATPS3r
lp_2369,ATPS3r
lp_2370,ATPS3r
lp_2371,URAt2
lp_2374,UPPRT
lp_2375,GHMT2r
lp_2379,TMDK2
lp_2379,DURIK1
lp_2379,TMDK1
lp_2380,UAAGLS1
lp_2384,MAN6PI
lp_2390,ILETA
lp_2390,LEUTA
lp_2390,VALTA
lp_2498,GLTAL
lp_2502,G6PI
lp_2502,PGI
lp_2531,ACGApts
lp_2531,GLCpts
lp_2532,DPR
lp_2535,HSDy
lp_2536,METACH
lp_2537,HSERTA
lp_2544,NPR
lp_2548,HIBD
lp_2550,MALTAT
lp_2551,HSTPT
lp_2552,PRATPP
lp_2553,PRAMPC
lp_2554,IG3PS
lp_2556,PRMICI
lp_2557,IG3PS
lp_2558,IGPDH
lp_2558,HISTP
lp_2559,HISTD
lp_2560,ATPPRT
lp_2561,HISTRS
lp_2563,HISTP
lp_2570,ASAD
lp_2582,GPDDA4
lp_2582,GPDDA2
lp_2582,GPDDA5
lp_2582,GPDDA1
lp_2582,GPDDA3
lp_2585,TRDR
lp_2591,GNNUC
lp_2591,INSH
lp_2591,XTSNH
lp_2591,ADNUC
lp_2596,PFL
lp_2598,PFL
lp_2600,F6PA
lp_2610,DXPS
lp_2612,NNAMr
lp_2629,PYROX
lp_2634,SHSL5
lp_2647,ACGALpts
lp_2648,ACGALpts
lp_2649,ACGALpts
lp_2650,ACGALpts
lp_2653,YUMPS
lp_2653,PSUDS
lp_2659,PKL
lp_2673,RNTR4
lp_2673,RNTR1
lp_2673,RNTR3
lp_2673,RNTR2
lp_2681,G6PDH2r
lp_2684,PHETA1
lp_2684,TRPTA
lp_2684,TYRTA
lp_2685,DHDPS
lp_2697,ORPT
lp_2698,OMPDC
lp_2699,DHORD6
lp_2700,CBPS
lp_2701,CBPS
lp_2702,DHORTS
lp_2703,ASPCT
lp_2710,XANt2
lp_2719,PRAGS
lp_2720,AICART
lp_2720,IMPC
lp_2721,GARFT
lp_2722,PRAIS
lp_2723,GLUPRT
lp_2724,PRFGS
lp_2725,PRFGS
lp_2726,PRFGS
lp_2727,PRASCS
lp_2728,AIRC
lp_2729,AIRC
lp_2736,HCO3E
lp_2738,ASNN
lp_2747,GRTAL
lp_2758,THRS
lp_2762,ADPRDP
lp_2771,NAPRT
lp_2776,SERD_D
lp_2777,BGLA1
lp_2778,BGLA1
lp_2780,CELBpts
lp_2781,CELBpts
lp_2785,PGM
lp_2788,DPR
lp_2790,PGCD
lp_2798,DHQD
lp_2807,TYRTRS
lp_2818,GLUt2
lp_2825,GNNUC
lp_2825,INSH
lp_2825,XTSNH
lp_2825,ADNUC
lp_2829,MALt2r
lp_2830,ASPT
lp_2843,GLTAL
lp_2844,GLTAL
lp_2852,CMLDC
lp_2855,SDPDS
lp_2868,PGM
lp_2873,ALCD2x
lp_2873,ALCD19
lp_2878,MALTAT
lp_2932,RNTR4
lp_2932,RNTR1
lp_2932,RNTR3
lp_2932,RNTR2
lp_2935,FMETDF
lp_2936,AHMMPS
lp_2969,ACGApts
lp_2981,LEUabc
lp_2981,ILEabc
lp_2981,VALabc
lp_2982,LEUabc
lp_2982,ILEabc
lp_2982,VALabc
lp_2983,LEUabc
lp_2983,ILEabc
lp_2983,VALabc
lp_2984,LEUabc
lp_2984,ILEabc
lp_2984,VALabc
lp_2985,LEUabc
lp_2985,ILEabc
lp_2985,VALabc
lp_2989,GRTAL
lp_3008,CELBpts
lp_3009,CELBpts
lp_3010,CELBpts
lp_3011,BGLA1
lp_3051,PPN13D
lp_3054,AALDH
lp_3085,ASNS1
lp_3092,SSALx
lp_3092,SSALy
lp_3135,TKT1
lp_3135,TKT2
lp_3150,MDH
lp_3170,PGM
lp_3174,CFAS180
lp_3185,LEUt2r
lp_3185,ILEt2r
lp_3194,IMPD
lp_3204,THMDt2
lp_3219,SUCpts
lp_3220,SUCR
lp_3251,PDE1
lp_3251,PDE4
lp_3251,PDE2
lp_3251,PDE5
lp_3251,PDE3
lp_3266,GLYCK
lp_3267,GTHRD
lp_3269,ADSL1
lp_3269,ADSL2
lp_3270,ADSS
lp_3271,GMPR
lp_3273,CLPNS_LPL
lp_3294,DHPS3
lp_3295,DNTPPA
lp_3296,THFGLUS
lp_3296,DHFS
lp_3297,GTPCI
lp_3298,HPPK
lp_3299,DHNPA
lp_3313,PFL
lp_3314,PFL
lp_3324,CHLt2r
lp_3324,GLYBt2r
lp_3334,ADD
lp_3374,GUAt2
lp_3374,ADEt2
lp_3374,CSNt6
lp_3407,UDCPK
lp_3418,PPCK
lp_3420,GLUDC
lp_3436,GLYCt1
lp_3449,NOX2
lp_3449,NOX1
lp_3463,GLYCt1
lp_3466,LEUt2r
lp_3466,ILEt2r
lp_3480,GALT
lp_3481,UDPG4E
lp_3482,GALK2
lp_3483,LACZ
lp_3484,LACZ
lp_3485,GALS3
lp_3485,RAFGH
lp_3486,MELIBt2
lp_3487,GALM
lp_3491,SUCD3BC
lp_3492,AHMMPS
lp_3493,DHQD
lp_3494,SHK3Dr
lp_3498,SHK3Dr
lp_3499,SHK3Dr
lp_3517,CYSTL
lp_3517,CYSTGL
lp_3520,GLCpts
lp_3520,SUCpts
lp_3522,GLCpts
lp_3522,SUCpts
lp_3530,MLTP4
lp_3538,TKT1
lp_3538,TKT2
lp_3539,TALA
lp_3544,PGLYCP
lp_3545,SBTD_D
lp_3545,SBTD
lp_3545,SBTD_L_1
lp_3546,GALTpts
lp_3547,GALTpts
lp_3548,GALTpts
lp_3551,PKL
lp_3553,MALTAT
lp_3554,ARAI
lp_3555,RBP4E
lp_3556,RBLK2
lp_3556,RBK_L1
lp_3557,ARAB_Lt
lp_3567,AMANK
lp_3568,ACNML
lp_3571,AMANAPE
lp_3578,CAT
lp_3586,LOXL
lp_3587,PYROX
lp_3589,PYROX
lp_3592,RMPA
lp_3593,RMI
lp_3595,RMK
lp_3599,GALTpts
lp_3600,GALTpts
lp_3601,GALTpts
lp_3605,INS2D
lp_3606,INS2D
lp_3608,INS2D
lp_3612,INS2D
lp_3615,URIH
lp_3617,F6PA
lp_3618,SBTpts
lp_3619,SBTpts
lp_3620,SBTpts
lp_3623,SBTPD
lp_3652,SBTpts
lp_3653,SBTpts
lp_3654,SBTpts
lp_3657,SBTPD
lp_3658,RIBt2
lp_3660,RBK
lp_3660,DRBK
lp_3662,ALCD2x
lp_3662,ACALD
lp_3665,CMPDC
