locus_tag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
lp_0013,0.000225607,0.014281209,-0.011745258,0.009699812,0.002667145,-0.009129853,-0.000414831,-0.002035519,-0.006681041,0.001017176,-0.00609836,-0.006314081,0.00116865,-0.003406403,-0.001814931,-0.006446967,0.000204083,0.004651844,0.001630143,-0.001810372,-0.006724729,0.003601364,-0.000567631,0.002164114,0.002834527,-0.005687235,-0.011582911,-0.000906294,0.007146814,-0.009639063,0.001576204,0.001508676,-0.004933754,-0.005871939,-0.003416471,-0.006098287,-0.0037441,-0.00220642,-0.005249722,0.000953763,0.012585924,-0.005794771,0.006518491,-0.002690032,0.002372057,-0.005707897,-0.002079967,0.004361972,0.008417762,-0.000755311,-0.0003951,0.00788646,-0.001944182
lp_0014,0.00144808,0.01611819,-0.008653807,0.001541405,0.000699092,-0.011975271,-0.003396921,-0.00132776,-0.002152806,0.00069794,0.003049763,-0.011466593,0.010219713,0.00317891,-0.002871123,-0.005153567,-0.003524063,0.00257156,-0.003339804,-0.000376303,-0.011386942,0.003126132,-0.009705615,0.003593352,0.001335066,-0.003044821,-0.009458721,-0.002192639,0.008115456,0.003248852,0.001322918,0.002477573,-0.000768886,0.0020262,-0.003382239,-0.002645563,-0.003498377,0.009296776,-0.003466579,-0.000733059,0.011572703,-0.014140359,0.002246185,0.000961049,0.002057293,-0.004003486,-0.002906672,0.005431208,0.007738379,0.000968852,-0.011645127,0.008872935,0.003986524
lp_0014,0.001644621,0.012595612,-0.009322683,0.002916842,0.001299061,-0.010627875,-0.003584087,0.000453368,-0.002191327,-4.68E-05,0.002153232,-0.010683089,0.009360805,-0.005363416,-0.003779621,-0.009976032,-0.003451711,0.002870563,-0.003414789,-0.002824338,-0.009888126,0.003568957,-0.009320103,0.002590417,0.000795064,-0.001239593,-0.010315466,-0.001490518,0.007333913,0.002798424,0.000522681,-0.010642972,-0.001740071,0.002621359,-0.002657308,-0.00107981,-0.006822372,0.010594374,-0.002998326,0.003024583,0.009603788,-0.012724509,0.003986916,0.00043466,0.00257606,-0.003389544,-0.002567076,0.004797447,0.009560849,0.000227165,-0.011759507,0.006951839,0.003892143
lp_0015,-0.010122022,0.009144303,-0.004854522,-0.003203343,0.000366674,-0.016709704,-0.0055542,0.000807704,-0.002052767,-0.006319891,-0.010285289,-0.002117706,0.004067841,-0.014109692,0.002597432,0.002646371,-0.002729167,0.014237476,0.005960528,-0.006752215,-0.000215588,-0.00227203,-0.006890494,0.00879808,0.000282223,-0.015955832,0.003573329,-0.002195461,-0.002717773,0.02803577,0.003665094,0.000834643,-0.00507726,0.006248245,-0.008453654,-0.019610012,0.011276411,0.003223404,-0.005430973,-0.003224496,-0.003038868,-0.018664592,-0.0067382,0.008320436,-0.013734527,-0.004466404,0.001188051,0.006796015,0.015299234,0.009535868,-0.027212274,0.02494909,-0.005306433
lp_0016,0.010992078,0.00743712,-0.000685378,-0.044496953,-0.002159729,-0.022732197,-0.013653619,0.00386133,0.004528773,-0.00461926,-0.008087004,-0.000950347,-0.001102115,-0.009260152,0.006190909,0.00284391,-0.014202523,0.010955814,-0.007264474,0.004011797,-0.006181309,-0.003428088,0.053009571,-0.003849507,-0.010855213,-0.014094176,0.000353936,-0.005919446,-0.008966374,-0.00596844,-0.022734009,-0.005474696,0.007298265,0.009360053,-0.003490853,-0.009095959,0.015829505,-0.005870745,0.021628065,-0.00352179,-0.002708466,-0.011153953,0.000899418,-0.010280727,-0.008163498,-0.008171103,0.002172797,-0.001113439,0.018037476,-0.012518898,-0.025590114,0.019066314,-0.006954631
lp_0017,-0.000994216,0.009863764,0.000321143,0.001823458,-0.002137747,-0.011837082,0.001853137,0.00785866,0.001178155,-0.004804398,-0.000316088,-0.000700484,0.005274097,-0.00683402,-0.00444046,0.008206023,-0.008914562,0.011851874,-0.011638874,0.015461608,-0.001915511,0.000751338,0.013849183,-0.000495642,0.005993862,-0.006499992,-0.008136646,-0.005103501,0.000920217,-0.016985665,-0.011822237,-0.000723691,-0.017175116,-0.00261825,-0.007169871,-0.013774989,0.007267337,0.019642875,0.001371889,-0.00717164,-0.005100258,-0.010772377,-0.002177588,0.000118689,0.003924713,-0.005889353,-0.001273165,0.009385491,-0.016368961,0.011828549,-0.007927978,0.020368364,-0.003231341
lp_0018,0.009340114,0.003315553,0.008809097,0.013675146,-0.003149259,-0.000156927,-0.011829221,0.006651605,-0.000893144,0.001579451,-0.010911693,-0.005963653,0.003315552,0.00520227,0.007377357,0.050431014,-0.014188622,0.002473345,-0.010047774,-0.010886996,0.001000459,0.006038469,0.007631999,-0.00130419,0.007603789,0.009625598,0.005866364,0.0037575,0.019130993,-0.002407665,0.016196754,0.076839278,-0.007932186,0.011776276,-1.29E-05,-0.012776914,0.031059652,-0.016677062,0.000524438,-0.01627996,-0.009638998,0.065142566,-0.001929251,0.003625832,-0.007752892,0.009225433,-0.008916892,0.002474994,-0.001560643,0.006000871,-0.011587006,0.030307497,0.000301162
lp_0020,-0.004006347,-0.01551444,0.007963478,0.009473918,-0.002225545,0.01797745,-0.014957326,0.012159833,0.000678752,-0.002755757,-0.015221104,0.010154136,0.003196855,0.00659069,-0.008720098,0.036348224,-0.00570445,0.011815177,0.010970165,-0.015577302,-0.008218578,-0.005822569,-0.036418088,0.003310706,0.004822003,-0.005082915,0.004710438,0.000276939,-0.020543509,-0.017468735,-0.003572417,-0.002363723,-0.005574551,-0.016769276,-0.044143702,-0.004496196,-0.012749072,-0.01252278,0.024067327,0.020230092,-0.006623832,-0.008064754,0.017344998,-0.010687574,0.036358506,0.0051843,0.003059606,-0.002651606,0.002130734,0.026597791,-0.00033198,-0.026022422,0.014658691
lp_0021,-0.015034216,0.015666514,-0.000713941,-0.049028764,-0.004818087,0.01314531,-0.003127977,0.004754915,-0.013345812,-0.00601625,-0.004910764,0.02111489,0.005877511,-0.003221442,-0.001446868,0.014456531,-0.004592962,-0.011997236,0.010239989,-0.03402524,-0.009587315,-0.004851812,-0.005563845,-0.000118482,0.001659933,-0.006263747,-0.001259411,6.62E-05,-0.036255018,-0.020843431,-0.031175805,-0.006746877,-0.00987674,0.023131046,0.011053831,-0.006195396,-0.01689061,-0.01122182,0.008237711,0.014352174,0.008894535,-0.011921498,0.018195077,-0.034135163,0.038631735,-0.004786887,0.019729199,0.000108323,-0.003319832,-0.019285671,-0.007310269,-0.012288953,0.036226602
lp_0022,-0.027022581,-0.000382935,0.006494903,-0.016188914,0.00507413,0.014757642,-0.047278407,0.006245002,-0.001546386,-0.004038399,-0.007120394,-0.009614548,-0.010608202,0.000428393,0.005358417,0.010967111,-0.013161749,0.015265594,0.000394976,-0.013748003,0.008938998,-0.002093405,-0.003122719,-0.000395681,-0.015571463,0.007087529,0.009571595,0.002733553,-0.037978152,-0.009542818,-0.003722492,0.005413093,-0.022444269,-0.030296299,0.002131421,0.000284618,-0.006283035,-0.027802868,0.015887431,-0.003964685,0.006392447,-0.020415351,0.00376885,-0.007107778,0.020569404,-0.005666093,0.002849055,-0.012692392,-0.003014346,-0.000218383,-0.007559993,-0.018059479,-0.021760663
