		MRS broth		Tomato juice			Wheat flour hydrolyzate			Pineapple juice			Drosophila sp. Extract			Faecal extract						Bee Extract			Olive Extract			Cheese broth	MRS broth								
GeneSymbol	GeneName	WCFS1_MRS	LB16_MRS	TJ22	TJ20	TJ19	WFH19	WFH20	WFH1W	PJ16	PJ20	PJ1	DE12	DE12II	DE24	FEO3	FEO13	FEO17	FEV3	FEV11	FEV21	BEE1ST	BEE2ST	BEE3ST	OE1	OE2	OE3	CB5	FEV11_MRS	FEO3_MRS	DE12_MRS	CB5_MRS	OE1_MRS	WFH19_MRS	TJ22_MRS	PJ16_MRS	BEE1ST_MRS
gene:lp_0020	glgB	2.44822	1.59686	7.90999	17.403	9.31938	2.49455	1.75978	0.779024	3.64191	3.50273	3.84918	3.93124	0	0	18.3287	2.64699	1.65109	14.6444	0.68385	1.69877	3.52928	2.82916	3.04145	2.26511	0.758173	0.908683	11.5458	1.02795	0.537687	0.894424	0.696114	2.07755	0.306475	1.20437	1.29268	1.15599
gene:lp_0021	glgC	5.00023	5.07004	11.5658	20.8105	10.6608	6.78875	5.28756	5.24661	3.47762	7.15397	7.07541	0	0.497513	0	13.7827	7.50032	2.53834	22.5892	1.3713	2.10277	7.78293	8.28467	6.71039	7.80064	5.0282	6.13709	20.5165	3.09871	2.65644	2.77574	4.18767	3.90957	3.07282	4.58678	2.27384	3.34137
gene:lp_0022	glgD	21.6471	14.0042	20.2138	29.0411	20.4171	10.7648	10.1402	12.8817	4.6472	13.9054	15.6281	0	1.77289	0	14.8833	18.1298	6.64998	16.4653	3.55392	5.41557	18.1347	16.8033	16.8636	16.154	13.5443	14.5114	20.0714	7.7907	3.6068	4.95064	6.36858	7.32559	5.3091	13.6916	7.36622	7.86471
gene:lp_0023	glgA	14.0347	15.2101	19.1588	21.5442	26.4779	13.7661	14.7517	16.0209	5.90772	19.8224	24.9515	5.2007	1.83803	0	12.1237	12.789	8.47492	16.3929	3.52824	7.15818	14.1982	17.2166	18.2633	19.8554	15.9853	17.0049	5.27066	12.3457	5.93793	5.14351	3.28454	10.028	6.08162	16.3404	8.70058	12.4823
gene:lp_0024	glgP	22.6999	17.0059	18.8592	24.2359	17.4476	17.1064	11.7399	16.8664	5.47866	16.548	17.5899	0	1.02533	3.31934	20.3932	15.9148	7.82068	36.7063	5.4892	7.6005	11.8173	14.9683	18.5254	21.2265	20.0914	16.1886	9.43444	18.9022	9.30821	6.55712	7.04448	14.5626	6.04864	17.7855	12.0939	18.4489
gene:lp_0025	malZ	28.2191	24.0952	25.2922	25.7644	29.2961	28.0811	24.8584	33.4437	11.494	24.6729	31.0571	0	2.39178	0	12.4838	21.4658	12.872	33.0513	7.73902	15.4932	24.2503	22.3894	32.841	29.2251	31.6292	29.1403	1.87439	33.666	12.8851	13.8098	1.72631	24.4958	10.8653	31.6089	20.5558	29.2352
gene:lp_0026	lp_0026	428.464	444.817	415.348	586.13	424.319	330.775	328.178	674.798	39.4685	246.654	316.509	68.2592	82.4654	269.359	1563.95	381.387	266.862	2059.35	261.056	243.461	1239.66	1167.93	1061.2	809.998	1234.34	725.305	7.05892	148.489	155.001	328.216	14.2164	187.515	355.015	233.504	465.725	307.588
gene:lp_0027	pgmB1	768.055	398.813	288.207	356.656	313.479	449.148	148.94	968.95	188.416	104.261	120.575	261.892	205.091	319.679	607.915	222.829	530.213	600.362	199.869	541.322	437.017	416.971	507.82	468.523	353.759	350.92	27.1984	309.519	1094.94	153.84	178.128	272.296	411.595	633.211	683.531	870.895
gene:lp_0028	lp_0028	537.251	424.832	353.528	449.356	358.415	479.279	133.901	722.064	126.03	125.476	137.438	126.606	80.4578	324.575	598.617	192.651	331.942	650.653	118.831	320.986	359.575	343.551	379.34	395.381	252.414	257.48	61.1943	165.174	397.848	120.869	191.953	94.6352	325.623	717.832	356.007	378.348
gene:lp_0030	lp_0030	339.713	237.954	238.585	144.642	218.178	206.378	115.685	237.746	195.288	145.811	136.877	515.91	257.955	601.155	62.0731	53.1049	185.644	233.673	270.39	231.725	253.868	289.039	455.671	238.807	130.189	161.484	303.246	509.486	600.424	733.093	105.007	108.867	420.145	461.237	518.914	703.372
